"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","fdr"
"REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS",0.272917916889273,1,1,12,484,19535,1
"REACTOME_DISSOLUTION_OF_FIBRIN_CLOT",0.272917916889273,1,1,12,484,19535,1
"REACTOME_ECM_PROTEOGLYCANS",0.279486951578335,1,3,73,482,19474,1
"REACTOME_RND2_GTPASE_CYCLE",0.279526151290732,1,2,41,483,19506,1
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",0.286093370097536,1,3,74,482,19473,1
"REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES",0.288540441835838,1,2,42,483,19505,1
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES",0.288540441835838,1,2,42,483,19505,1
"REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS",0.288540441835838,1,2,42,483,19505,1
"REACTOME_METHYLATION",0.290532923148761,1,1,13,484,19534,1
"REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE",0.290532923148761,1,1,13,484,19534,1
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS",0.290532923148761,1,1,13,484,19534,1
"REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY",0.290532923148761,1,1,13,484,19534,1
"REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL",0.290532923148761,1,1,13,484,19534,1
"REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS",0.290532923148761,1,1,13,484,19534,1
"REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION",0.290532923148761,1,1,13,484,19534,1
"REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS",0.290532923148761,1,1,13,484,19534,1
"REACTOME_REPRESSION_OF_WNT_TARGET_GENES",0.290532923148761,1,1,13,484,19534,1
"REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ASSOCIATION_WITH_CO_FACTORS",0.290532923148761,1,1,13,484,19534,1
"REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS",0.290532923148761,1,1,13,484,19534,1
"REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM",0.290532923148761,1,1,13,484,19534,1
"REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION",0.307722029566628,1,1,14,484,19533,1
"REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",0.307722029566628,1,1,14,484,19533,1
"REACTOME_ANCHORING_FIBRIL_FORMATION",0.307722029566628,1,1,14,484,19533,1
"REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER",0.307722029566628,1,1,14,484,19533,1
"REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS",0.307722029566628,1,1,14,484,19533,1
"REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS",0.307722029566628,1,1,14,484,19533,1
"REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS",0.307722029566628,1,1,14,484,19533,1
"REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4",0.307722029566628,1,1,14,484,19533,1
"REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT",0.307722029566628,1,1,14,484,19533,1
"REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1",0.315485467166689,1,2,45,483,19502,1
"REACTOME_REGULATION_OF_KIT_SIGNALING",0.324495512888813,1,1,15,484,19532,1
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE",0.324495512888813,1,1,15,484,19532,1
"REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS",0.324495512888813,1,1,15,484,19532,1
"REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION",0.324495512888813,1,1,15,484,19532,1
"REACTOME_CRMPS_IN_SEMA3A_SIGNALING",0.324495512888813,1,1,15,484,19532,1
"REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS",0.324495512888813,1,1,15,484,19532,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION",0.332561160788603,1,3,81,482,19466,1
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",0.339205970861944,1,3,82,482,19465,1
"REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES",0.340863402389659,1,1,16,484,19531,1
"REACTOME_HYALURONAN_METABOLISM",0.340863402389659,1,1,16,484,19531,1
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.340863402389659,1,1,16,484,19531,1
"REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS",0.340863402389659,1,1,16,484,19531,1
"REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY",0.340863402389659,1,1,16,484,19531,1
"REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS",0.340863402389659,1,1,16,484,19531,1
"REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY",0.340863402389659,1,1,16,484,19531,1
"REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS",0.340863402389659,1,1,16,484,19531,1
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.340863402389659,1,1,16,484,19531,1
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM",0.342193516011111,1,2,48,483,19499,1
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS",0.345846462373242,1,3,83,482,19464,1
"REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS",0.347730888623935,1,4,119,481,19428,1
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",0.351025496409289,1,2,49,483,19498,1
"REACTOME_RHOD_GTPASE_CYCLE",0.351025496409289,1,2,49,483,19498,1
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION",0.353238858070763,1,4,120,481,19427,1
"REACTOME_INTERFERON_SIGNALING",0.355870078581392,1,6,194,479,19353,1
"REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE",0.356835485819137,1,1,17,484,19530,1
"REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.356835485819137,1,1,17,484,19530,1
"REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS",0.356835485819137,1,1,17,484,19530,1
"REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES",0.356835485819137,1,1,17,484,19530,1
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS",0.356835485819137,1,1,17,484,19530,1
"REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION",0.356835485819137,1,1,17,484,19530,1
"REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION",0.356835485819137,1,1,17,484,19530,1
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS",0.356835485819137,1,1,17,484,19530,1
"REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK",0.356835485819137,1,1,17,484,19530,1
"REACTOME_COLLAGEN_FORMATION",0.372328681467548,1,3,87,482,19460,1
"REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN",0.372421315207451,1,1,18,484,19529,1
"REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL",0.372421315207451,1,1,18,484,19529,1
"REACTOME_RHO_GTPASES_ACTIVATE_ROCKS",0.372421315207451,1,1,18,484,19529,1
"REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION",0.372421315207451,1,1,18,484,19529,1
"REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES",0.372421315207451,1,1,18,484,19529,1
"REACTOME_G_PROTEIN_MEDIATED_EVENTS",0.377262128909734,1,2,52,483,19495,1
"REACTOME_GLUCOSE_METABOLISM",0.378920580451977,1,3,88,482,19459,1
"REACTOME_DISEASES_OF_METABOLISM",0.382499654852206,1,7,238,478,19309,1
"REACTOME_MAPK_FAMILY_SIGNALING_CASCADES",0.385265828561517,1,9,315,476,19232,1
"REACTOME_PCP_CE_PATHWAY",0.385497696637284,1,3,89,482,19458,1
"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM",0.385911210740157,1,2,53,483,19494,1
"REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES",0.385911210740157,1,2,53,483,19494,1
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS",0.387630212530411,1,1,19,484,19528,1
"REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE",0.387630212530411,1,1,19,484,19528,1
"REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE",0.387630212530411,1,1,19,484,19528,1
"REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR",0.387630212530411,1,1,19,484,19528,1
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE",0.387630212530411,1,1,19,484,19528,1
"REACTOME_NOTCH4_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",0.387630212530411,1,1,19,484,19528,1
"REACTOME_SIGNALING_BY_KIT_IN_DISEASE",0.387630212530411,1,1,19,484,19528,1
"REACTOME_RAC3_GTPASE_CYCLE",0.392058452493464,1,3,90,482,19457,1
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.398601317177186,1,3,91,482,19456,1
"REACTOME_CELLULAR_HEXOSE_TRANSPORT",0.402471275238923,1,1,20,484,19527,1
"REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS",0.402471275238923,1,1,20,484,19527,1
"REACTOME_PD_1_SIGNALING",0.402471275238923,1,1,20,484,19527,1
"REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",0.402471275238923,1,1,20,484,19527,1
"REACTOME_SIGNAL_TRANSDUCTION_BY_L1",0.402471275238923,1,1,20,484,19527,1
"REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC",0.402471275238923,1,1,20,484,19527,1
"REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION",0.402471275238923,1,1,20,484,19527,1
"REACTOME_SIGNALING_BY_ERBB4",0.411531637826093,1,2,56,483,19491,1
"REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER",0.411531637826093,1,2,56,483,19491,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3",0.411627480597051,1,3,93,482,19454,1
"REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION",0.41695338165585,1,1,21,484,19526,1
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",0.41695338165585,1,1,21,484,19526,1
"REACTOME_HS_GAG_DEGRADATION",0.41695338165585,1,1,21,484,19526,1
"REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS",0.41695338165585,1,1,21,484,19526,1
"REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12",0.41695338165585,1,1,21,484,19526,1
"REACTOME_DIGESTION",0.41695338165585,1,1,21,484,19526,1
"REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE",0.41695338165585,1,1,21,484,19526,1
"REACTOME_PARASITE_INFECTION",0.41995496706373,1,2,57,483,19490,1
"REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES",0.431085196243402,1,1,22,484,19525,1
"REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.431085196243402,1,1,22,484,19525,1
"REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION",0.431085196243402,1,1,22,484,19525,1
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION",0.431085196243402,1,1,22,484,19525,1
"REACTOME_LONG_TERM_POTENTIATION",0.431085196243402,1,1,22,484,19525,1
"REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC",0.437402836651154,1,3,97,482,19450,1
"REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS",0.440687842099571,1,4,136,481,19411,1
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH",0.444845446598157,1,2,60,483,19487,1
"REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS",0.444845446598157,1,2,60,483,19487,1
"REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING",0.444875174744174,1,1,23,484,19524,1
"REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES",0.444875174744174,1,1,23,484,19524,1
"REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING",0.444875174744174,1,1,23,484,19524,1
"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS",0.444875174744174,1,1,23,484,19524,1
"REACTOME_RAC1_GTPASE_CYCLE",0.446619510860498,1,5,176,480,19371,1
"REACTOME_POTASSIUM_CHANNELS",0.456451942387684,1,3,100,482,19447,1
"REACTOME_GLUCURONIDATION",0.458331569198846,1,1,24,484,19523,1
"REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1",0.458331569198846,1,1,24,484,19523,1
"REACTOME_SIGNALING_BY_NTRK2_TRKB",0.458331569198846,1,1,24,484,19523,1
"REACTOME_NOTCH3_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS",0.458331569198846,1,1,24,484,19523,1
"REACTOME_COLLAGEN_DEGRADATION",0.461105048606505,1,2,62,483,19485,1
"REACTOME_SEMAPHORIN_INTERACTIONS",0.461105048606505,1,2,62,483,19485,1
"REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS",0.461105048606505,1,2,62,483,19485,1
"REACTOME_SIGNALING_BY_VEGF",0.468999557352604,1,3,102,482,19445,1
"REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE",0.469129935033298,1,2,63,483,19484,1
"REACTOME_RAB_GERANYLGERANYLATION",0.469129935033298,1,2,63,483,19484,1
"REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS",0.471462432843498,1,1,25,484,19522,1
"REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING",0.471462432843498,1,1,25,484,19522,1
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",0.471462432843498,1,1,25,484,19522,1
"REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER",0.471462432843498,1,1,25,484,19522,1
"REACTOME_CALNEXIN_CALRETICULIN_CYCLE",0.471462432843498,1,1,25,484,19522,1
"REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING",0.472678768153095,1,4,142,481,19405,1
"REACTOME_RHOA_GTPASE_CYCLE",0.477946022498516,1,4,143,481,19404,1
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",0.484069701296947,1,5,184,480,19363,1
"REACTOME_INSULIN_PROCESSING",0.48427562488943,1,1,26,484,19521,1
"REACTOME_INTEGRIN_SIGNALING",0.48427562488943,1,1,26,484,19521,1
"REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY",0.48427562488943,1,1,26,484,19521,1
"REACTOME_PYROPTOSIS",0.48427562488943,1,1,26,484,19521,1
"REACTOME_DIGESTION_AND_ABSORPTION",0.48427562488943,1,1,26,484,19521,1
"REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT",0.492769167957767,1,2,66,483,19481,1
"REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY",0.496778815188286,1,1,27,484,19520,1
"REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION",0.496778815188286,1,1,27,484,19520,1
"REACTOME_PLATELET_CALCIUM_HOMEOSTASIS",0.496778815188286,1,1,27,484,19520,1
"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING",0.496778815188286,1,1,27,484,19520,1
"REACTOME_O_LINKED_GLYCOSYLATION",0.499778395058045,1,3,107,482,19440,1
"REACTOME_CIRCADIAN_CLOCK",0.508154709278605,1,2,68,483,19479,1
"REACTOME_INTERLEUKIN_17_SIGNALING",0.508154709278605,1,2,68,483,19479,1
"REACTOME_PEROXISOMAL_LIPID_METABOLISM",0.508979488785251,1,1,28,484,19519,1
"REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS",0.508979488785251,1,1,28,484,19519,1
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.508979488785251,1,1,28,484,19519,1
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES",0.509100036179694,1,4,149,481,19398,1
"REACTOME_SIGNALING_BY_NOTCH",0.509497007261975,1,6,230,479,19317,1
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE",0.51573246653682,1,2,69,483,19478,1
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.520884950362972,1,1,29,484,19518,1
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.520884950362972,1,1,29,484,19518,1
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES",0.520884950362972,1,1,29,484,19518,1
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.523232497645453,1,2,70,483,19477,1
"REACTOME_CDC42_GTPASE_CYCLE",0.529396965041909,1,4,153,481,19394,1
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX",0.530654118087045,1,2,71,483,19476,1
"REACTOME_RHOG_GTPASE_CYCLE",0.530654118087045,1,2,71,483,19476,1
"REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION",0.532502328578848,1,1,30,484,19517,1
"REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS",0.532502328578848,1,1,30,484,19517,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS",0.532502328578848,1,1,30,484,19517,1
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",0.539390601963524,1,4,155,481,19392,1
"REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION",0.543838580298225,1,1,31,484,19516,1
"REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III",0.543838580298225,1,1,31,484,19516,1
"REACTOME_SIGNALING_BY_INTERLEUKINS",0.547847509584927,1,11,445,474,19102,1
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",0.551497362366069,1,17,692,468,18855,1
"REACTOME_SIGNALING_BY_NOTCH2",0.554900494725993,1,1,32,484,19515,1
"REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING",0.554900494725993,1,1,32,484,19515,1
"REACTOME_L1CAM_INTERACTIONS",0.558457727284836,1,3,117,482,19430,1
"REACTOME_GLUTATHIONE_CONJUGATION",0.565694697439024,1,1,33,484,19514,1
"REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM",0.565694697439024,1,1,33,484,19514,1
"REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING",0.565694697439024,1,1,33,484,19514,1
"REACTOME_REGULATION_OF_INSULIN_SECRETION",0.566567409712518,1,2,76,483,19471,1
"REACTOME_LEISHMANIA_INFECTION",0.569772849694838,1,6,245,479,19302,1
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",0.57349213333282,1,4,162,481,19385,1
"REACTOME_RMTS_METHYLATE_HISTONE_ARGININES",0.573508355884384,1,2,77,483,19470,1
"REACTOME_SIGNALING_BY_MET",0.573508355884384,1,2,77,483,19470,1
"REACTOME_METABOLISM_OF_STEROID_HORMONES",0.576227654321815,1,1,34,484,19513,1
"REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE",0.576227654321815,1,1,34,484,19513,1
"REACTOME_NUCLEOBASE_CATABOLISM",0.576227654321815,1,1,34,484,19513,1
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM",0.580741549730785,1,3,121,482,19426,1
"REACTOME_STRIATED_MUSCLE_CONTRACTION",0.586505675407675,1,1,35,484,19512,1
"REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES",0.586505675407675,1,1,35,484,19512,1
"REACTOME_ONCOGENIC_MAPK_SIGNALING",0.593843550738992,1,2,80,483,19467,1
"REACTOME_CA_DEPENDENT_EVENTS",0.596534918627682,1,1,36,484,19511,1
"REACTOME_METALLOPROTEASE_DUBS",0.596534918627682,1,1,36,484,19511,1
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.596534918627682,1,1,36,484,19511,1
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION",0.596534918627682,1,1,36,484,19511,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS",0.596534918627682,1,1,36,484,19511,1
"REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX",0.596534918627682,1,1,36,484,19511,1
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",0.60280654220002,1,7,296,478,19251,1
"REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS",0.606321393469672,1,1,37,484,19510,1
"REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION",0.606321393469672,1,1,37,484,19510,1
"REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS",0.606321393469672,1,1,37,484,19510,1
"REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE",0.606321393469672,1,1,37,484,19510,1
"REACTOME_CELL_CELL_COMMUNICATION",0.612805431359192,1,3,127,482,19420,1
"REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS",0.613150967132771,1,7,299,478,19248,1
"REACTOME_PLATELET_HOMEOSTASIS",0.613445896691867,1,2,83,483,19464,1
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS",0.614149105464147,1,9,384,476,19163,1
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",0.615870964549356,1,1,38,484,19509,1
"REACTOME_DAP12_INTERACTIONS",0.615870964549356,1,1,38,484,19509,1
"REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS",0.615870964549356,1,1,38,484,19509,1
"REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION",0.615870964549356,1,1,38,484,19509,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX",0.615870964549356,1,1,38,484,19509,1
"REACTOME_MAP2K_AND_MAPK_ACTIVATION",0.625189355095725,1,1,39,484,19508,1
"REACTOME_RAC2_GTPASE_CYCLE",0.626107583342328,1,2,85,483,19462,1
"REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION",0.628207639155734,1,3,130,482,19417,1
"REACTOME_APOPTOSIS",0.632864026012975,1,4,175,481,19372,1
"REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT",0.633247051515964,1,3,131,482,19416,1
"REACTOME_DAG_AND_IP3_SIGNALING",0.634282150352756,1,1,40,484,19507,1
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM",0.634282150352756,1,1,40,484,19507,1
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION",0.634282150352756,1,1,40,484,19507,1
"REACTOME_BETA_DEFENSINS",0.643154800899448,1,1,41,484,19506,1
"REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION",0.643154800899448,1,1,41,484,19506,1
"REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT",0.643154800899448,1,1,41,484,19506,1
"REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX",0.643154800899448,1,1,41,484,19506,1
"REACTOME_RND1_GTPASE_CYCLE",0.643154800899448,1,1,41,484,19506,1
"REACTOME_OPIOID_SIGNALLING",0.644493587362955,1,2,88,483,19459,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS",0.644493587362955,1,2,88,483,19459,1
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",0.648079456716196,1,3,134,482,19413,1
"REACTOME_VESICLE_MEDIATED_TRANSPORT",0.6496657539106,1,15,651,470,18896,1
"REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS",0.651812625890132,1,1,42,484,19505,1
"REACTOME_SIGNALING_BY_SCF_KIT",0.651812625890132,1,1,42,484,19505,1
"REACTOME_SIGNALING_BY_RETINOIC_ACID",0.651812625890132,1,1,42,484,19505,1
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE",0.656349605068422,1,2,90,483,19457,1
"REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX",0.656349605068422,1,2,90,483,19457,1
"REACTOME_EPH_EPHRIN_SIGNALING",0.656349605068422,1,2,90,483,19457,1
"REACTOME_CELL_JUNCTION_ORGANIZATION",0.656349605068422,1,2,90,483,19457,1
"REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER",0.660260816216976,1,1,43,484,19504,1
"REACTOME_COLLAGEN_CHAIN_TRIMERIZATION",0.660260816216976,1,1,43,484,19504,1
"REACTOME_AGGREPHAGY",0.660260816216976,1,1,43,484,19504,1
"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS",0.667887699320727,1,2,92,483,19455,1
